date,port,event
2018-12-31,104,1
2024-12-31,28,1
2024-12-31,64,1
2026-01-01,6,0
2026-01-01,8,0
2026-03-20,6,1
2026-03-20,8,1
2026-03-23,10,0
2026-03-23,12,0
2026-05-29,10,1
2026-05-29,12,1
2026-06-01,14,0
2026-06-01,16,0
2026-08-07,14,1
2026-08-07,16,1
2026-09-07,18,0
2026-09-07,20,0
2026-11-13,18,1
2026-11-13,20,1
2027-01-04,22,0
2027-01-04,24,0
2027-01-04,26,0
2027-01-04,30,0
2027-04-30,22,1
2027-04-30,24,1
2027-04-30,26,1
2027-04-30,30,1
2027-05-03,32,0
2027-05-03,34,0
2027-05-03,36,0
2027-05-03,38,0
2027-08-27,32,1
2027-08-27,34,1
2027-08-27,36,1
2027-08-27,38,1
2027-08-30,40,0
2027-08-30,42,0
2027-08-30,44,0
2027-12-17,40,1
2027-12-17,42,1
2027-12-17,44,1
2028-01-03,46,0
2028-01-03,48,0
2028-03-03,46,1
2028-03-03,48,1
2028-03-06,50,0
2028-03-06,52,0
2028-03-06,54,0
2028-05-19,50,1
2028-05-19,52,1
2028-05-19,54,1
2028-05-22,56,0
2028-05-22,58,0
2028-05-22,60,0
2028-08-04,56,1
2028-08-04,58,1
2028-08-04,60,1
2028-08-07,62,0
2028-08-07,66,0
2028-08-07,68,0
2028-10-20,62,1
2028-10-20,66,1
2028-10-20,68,1
2028-10-23,70,0
2028-10-23,72,0
2028-12-22,70,1
2028-12-22,72,1
2029-01-08,74,0
2029-01-08,76,0
2029-01-08,78,0
2029-01-08,80,0
2029-01-08,82,0
2029-04-30,74,1
2029-04-30,76,1
2029-04-30,78,1
2029-04-30,80,1
2029-04-30,82,1
2029-05-03,84,0
2029-05-03,86,0
2029-05-03,88,0
2029-05-03,112,0
2029-08-27,84,1
2029-08-27,86,1
2029-08-27,88,1
2029-08-27,112,1
2029-08-30,114,0
2029-08-30,116,0
2029-08-30,118,0
2029-08-30,120,0
2029-08-30,122,0
2029-12-21,114,1
2029-12-21,116,1
2029-12-21,118,1
2029-12-21,120,1
2029-12-21,122,1
2030-01-07,90,0
2030-01-07,92,0
2030-03-15,90,1
2030-03-15,92,1
2030-03-18,94,0
2030-03-18,96,0
2030-05-24,94,1
2030-05-24,96,1
2030-05-27,98,0
2030-05-27,100,0
2030-08-02,98,1
2030-08-02,100,1
2030-08-05,102,0
2030-08-05,106,0
2030-10-11,102,1
2030-10-11,106,1
2030-10-14,108,0
2030-10-14,110,0
2030-12-20,108,1
2030-12-20,110,1
