number,x_pct,y_pct
6,6.58,44.24
8,6.52,33.19
10,6.46,22.05
12,7.49,7.57
14,11.77,7.68
16,16.16,7.86
18,20.49,7.72
20,24.94,7.88
22,17.72,29.30
24,22.40,29.37
26,15.79,43.48
28,15.81,54.86
30,20.73,60.83
32,25.47,60.54
34,29.61,23.49
36,34.39,23.29
38,27.49,37.60
40,27.49,49.23
42,39.18,41.48
44,39.18,29.54
46,37.29,10.07
48,41.78,10.02
50,46.26,10.10
52,46.76,29.10
54,46.74,40.83
56,54.36,41.15
58,54.25,29.17
60,54.06,9.78
62,58.60,9.95
64,63.04,9.94
66,62.25,29.43
68,62.41,41.03
70,66.50,23.10
72,71.23,23.20
74,73.62,37.06
76,73.56,48.44
78,76.23,61.62
80,80.87,61.39
82,85.95,55.29
84,85.79,44.03
86,78.78,29.18
88,83.45,29.09
90,75.51,7.75
92,79.83,7.64
94,84.45,7.77
96,88.99,7.92
98,93.22,8.20
100,94.99,22.31
102,95.11,33.89
104,95.16,45.59
106,92.66,64.05
108,92.87,75.58
110,92.91,87.19
112,83.45,87.83
114,83.50,76.02
116,78.57,92.53
118,73.86,92.40
120,71.36,77.98
122,71.35,66.36
